Nama,Posisi,Umur,Overall_Rating,Potential
I. Price,CAM,21,71,80
F. Miretti,CM,21,75,80
N. Sadiki,CM,20,78,85
M. Oyedele,CM,20,70,78
N. Brown,LB,22,80,86
J. Bahoya,LM,20,75,85
M. Delavallée,GK,21,70,81
S. Núñez,CB,25,74,76
K. Koulierakis,CB,21,76,85
A. Gray,CDM,19,77,86
M. Penders,GK,19,77,86
K. Dong,LM,20,64,76
Gustavo Sá,CAM,20,75,86
O. Arblaster,CM,21,70,79
K. Etta Eyong,ST,21,75,84
P. Mercado,CM,21,74,85
Diego Sánchez,LB,21,70,78
E. Nwaneri,RW,18,76,87
R. Risser,GK,20,78,85
Pablo Marín,CM,21,73,82
Endrick,ST,18,78,89
L. Jovanović,ST,20,64,76
A. Ahmed,LM,24,72,75
Andrey Santos,CM,21,80,87
N. Zézé,CB,20,73,81
Renato Veiga,CB,21,78,83
A. Matturro,CB,20,70,80
O. Scarles,LB,19,72,80
A. Abdullahi,ST,21,58,72
M. Bombito,CB,25,75,80
O. Højlund,CM,20,74,84
V. Atangana,CDM,19,74,84
G. Doué,RB,22,77,82
Igor Thiago,ST,24,81,85
M. Fernandez-Pardo,LM,20,76,84
Altimira,CDM,23,77,83
L. Burcu,LM,20,70,78
T. Begić,CAM,22,69,78
M. Diomande,CDM,23,74,81
B. Garrity,CM,28,64,64
S. Hezze,CDM,23,79,83
T. Tessmann,CDM,23,76,82
A. Johnston,RB,26,78,79
M. Thiaw,CB,23,81,85
M. Fofana,LM,20,78,86
25 P. Solari,ST,23,74,80
Nico Williams,LW,22,85,88
S. Nanasi,CAM,23,75,82
L. Colombo,ST,23,72,79
Fábio Vieira,CM,25,77,81
A. Onana,CDM,23,81,84
Gonçalo Inácio,CB,23,81,86
R. Calafiori,LB,23,82,86
Raúl Moro,LW,22,75,82
Pep Chavarría,LB,27,78,78
D. Neil,CDM,23,73,81
B. Hollerbach,ST,24,75,79
D. Rensch,RB,22,74,79
Arnau Tenas,GK,24,75,81
Yan Couto,RB,23,77,81
N. Jackson,ST,24,79,82
I. Moriba,CM,22,78,83
F. Rieder,CAM,23,74,81
Yeremy Pino,LW,22,79,86
Aitor Paredes,CB,25,78,81
E. Ferguson,ST,20,74,82
G. Sudakov,CAM,22,79,86
A. Varela,CDM,23,80,85
Arnau Martínez,RB,22,78,83
A. Zaroury,LM,24,74,77
M. Kerkez,LB,21,81,85
J. Casimir,RM,23,71,76
A. Schjelderup,LW,21,77,86
D. Affengruber,CB,24,75,82
M. Keita,CDM,23,73,79
Q. Merlin,LB,23,76,82
T. Muharemović,CB,22,74,80
N. Ngoy,CB,22,75,83
T. Livramento,RB,22,80,86
E. Fernández,CDM,22,76,84
N. Atubolu,GK,23,78,83
L. Colwill,CB,22,80,84
A. Nusa,LW,20,78,88
E. Bitshiabu,CB,20,75,85
B. Yılmaz,LM,25,80,81
Beñat Prados,CDM,24,77,82
O. Vargas,CDM,19,72,83
J. Urbig,GK,21,77,85
B. Locko,LB,23,75,80
S. Edozie,LM,22,72,81
J. Castrop,CAM,21,74,81
I. Koné,CM,23,75,79
L. Bogarde,CDM,21,74,81
H. Diarra,CM,21,77,83
Moleiro,LM,21,82,87
T. Small,LB,20,70,80
Yeremay,LM,22,76,84
Cristhian Mosquera,CB,21,77,85
M. Retegui,ST,26,82,83
M. Diaby,RM,25,83,84
Manu Morlanes,CDM,26,76,78
D. Rossi,CAM,27,75,75
A. Sambi Lokonga,CM,25,76,78
J. Sargent,ST,25,73,74
C. Baumgartner,CAM,25,81,83
Luis Milla,CM,30,81,81
M. Barrow,LW,26,79,79
S. van den Berg,CB,23,77,83
B. Badiashile,CB,24,76,80
B. Mbeumo,RW,25,85,86
Hugo Duro,ST,25,77,79
L. Ramazani,LW,24,76,79
O. Kökçü,CM,24,82,86
F. Winther,CB,24,67,74
Pedro Porro,RB,25,82,85
R. Giles,LB,25,72,75
W. Saliba,CB,24,88,90
J. Bijol,CB,26,77,79
Dani Olmo,CAM,27,84,84
V. Buialskii,CAM,32,76,76
M. Shaparenko,CM,26,78,79
Trincão,CAM,25,83,85
Eric García,CB,24,83,86
S. Giménez,ST,24,79,84
X. Simons,CAM,22,82,85
C. Okoroji,LB,28,68,68
Víctor Gómez,RB,25,77,80
R. Gravenberch,CDM,23,86,89
K. Dembélé,RM,22,69,77
Í. Jóhannesson,CM,22,74,81
O. Kossounou,CB,24,80,85
T. Čvančara,ST,24,72,76
D. Kulusevski,CM,25,83,86
K. Kvaratskhelia,LW,24,88,91
V. Boniface,ST,24,79,83
S. Esposito,ST,22,75,82
A. Rațiu,RB,27,80,81
Vivian,CB,25,82,85
K. Koné,CM,24,80,84
R. Pepi,ST,22,76,84
C. De Ketelaere,CAM,24,82,86
A. Sayyadmanesh,LM,24,73,78
J. Timber,RB,24,84,87
Fábio Silva,ST,22,79,85
Daniel Bragança,CM,26,77,80
A. Ueda,ST,26,78,79
E. Millot,CAM,22,78,84
J. Bellingham,CAM,22,89,93
Carreira,RB,24,75,78
Y. Gboho,LW,24,76,79
J. Frimpong,RB,24,82,84
Giuliano,RM,22,82,86
N. Woltemade,ST,23,80,85
E. Anderson,CDM,22,82,86
L. Da Cunha,CDM,24,76,80
N. Rovella,CDM,23,79,84
A. Ounahi,CM,25,79,82
J. Stansfield,ST,22,70,79
W. Anton,CB,28,83,83
D. Upamecano,CB,26,86,88
B. Chilwell,LB,28,77,77
Gabriel Jesus,ST,28,80,80
F. Kessié,CDM,28,79,79
L. Martínez,ST,27,88,88
L. Kelly,CB,26,78,80
S. Banza,ST,28,80,80
R. Malinovskyi,CM,32,75,75
C. Romero,CB,27,82,84
Gabriel,CB,27,89,90
T. Hernández,LB,27,84,84
C. Awaziem,CB,28,72,73
T. Adams,CDM,26,79,81
J. Sancho,LM,25,79,80
D. Dumfries,RB,29,84,84
K. Itakura,CB,28,76,77
A. Vega,LW,27,78,78
R. Kristensen,RB,27,79,79
A. Isak,ST,25,87,88
P. Schick,ST,29,85,85
É. Mendy,GK,33,81,81
V. Rosier,RB,28,78,78
S. Özcan,CDM,27,74,75
M. Edwards,RM,26,75,75
E. Ampadu,CDM,24,78,81
E. Eze,CAM,27,84,85
A. Pinamonti,ST,26,75,76
Dani Cárdenas,GK,28,73,75
M. Guendouzi,CM,26,82,83
A. Nordin,RM,27,73,73
S. Lukić,CDM,28,78,78
S. McTominay,CM,28,86,86
N. Tella,RM,25,78,79
T. Malacia,LB,25,75,76
M. Demiral,CB,27,79,81
C. Gallagher,CM,25,79,81
A. Haidara,CM,27,75,75
J. Strand Larsen,ST,25,77,80
Galeno,LM,27,80,80
M. Pessina,CM,28,76,76
N. Raskin,CDM,24,78,83
D. Man,RW,26,77,77
Éder Militão,CB,27,84,86
S. Niakaté,CB,25,74,77
Pedro Gonçalves,LM,27,82,82
L. Díaz,LM,28,87,87
M. Bird,CM,24,72,76
Ferran Torres,ST,25,84,86
J. Koundé,RB,26,86,87
M. Jenz,CB,26,75,78
T. Weah,RM,25,77,78
M. Damsgaard,CAM,24,80,83
Mauro Júnior,LB,26,80,81
J. Arias,RM,27,77,77
V. Torp,CM,25,73,76
V. Gyökeres,ST,27,86,86
P. Gueye,CM,26,80,81
26 E. Francis,CM,25,64,66
Rafael Leão,LW,26,84,85
22 J. Wilshere,CM,29,73,73
25 Muniain,CAM,31,79,79
T. Müller,CAM,35,80,80
P. Groß,CDM,34,78,78
K. De Bruyne,CM,34,87,87
A. Griezmann,ST,34,84,84
Isco,CAM,33,84,84
T. Eaves,ST,33,62,62
A. Oxlade-Chamberlain,CM,31,75,75
24 N. Isimat-Mirin,CB,31,67,67
B. Gibson,CB,32,67,67
25 R. Varane,CB,31,82,82
T. Meunier,RB,33,77,77
J. Stones,CB,31,82,82
B. Mendy,LB,30,65,65
A. Rüdiger,CB,32,84,84
J. Grealish,LM,29,82,82
26 J. Lingard,CAM,32,74,74
Gerard Moreno,ST,33,81,81
J. Vardy,ST,38,75,75
M. Salah,RM,33,89,89
A. Rabiot,CM,30,85,85
Grimaldo,LM,29,85,85
J. Hofmann,CAM,32,77,77
M. Kempf,CB,30,75,75
M. Sanson,CM,30,76,76
P. Gollini,GK,30,74,74
26 N. Süle,CB,29,78,78
I. Toney,ST,29,82,82
L. Dendoncker,CM,30,72,72
L. Vigouroux,GK,31,73,73
26 Á. Correa,ST,30,79,79
A. Saint-Maximin,LW,28,77,77
W. Hoedt,CB,31,72,72
S. Adamyan,ST,32,66,66
A. Sanabria,ST,29,75,75
Angeliño,LB,28,79,79
H. Wilson,RM,28,80,80
D. Calvert-Lewin,ST,28,77,77
P. Roberts,RM,28,72,72
T. Adarabioyo,CB,27,78,79
L. Klostermann,CB,29,76,77
L. Chávez,CM,29,76,76
L. Sané,RM,29,81,81
Dani Ceballos,CM,28,80,80
Zizo,RW,29,74,74
M. Rodák,GK,28,73,74
L. Coyle,RB,29,69,69
S. Amrabat,CDM,28,79,79
K. Ajer,CB,27,76,77
Guedes,LW,28,78,78
26 R. Kent,LW,28,73,73
K. Laimer,RB,28,84,84
Marcos Llorente,RB,30,85,85
Hwang Hee Chan,ST,29,74,74
I. Hagi,CAM,26,72,73
M. Zetterer,GK,29,75,75
O. Zinchenko,LB,28,77,77
C. Carter-Vickers,CB,27,79,81
Kevin,LM,22,76,81
S. Ouaissa,RM,20,72,82
G. Leoni,CB,18,69,82
A. Khalaili,RM,20,77,86
Jacobo Ramón,CB,20,74,84
Carlos Espí,ST,19,75,84
J. Gadou,CB,18,67,85
B. Touré,LM,19,77,86
A. Kouassi,LB,20,74,82
A. Koné,CB,20,67,79
M. Palma,CB,17,65,82
Luis Guilherme,RM,19,71,84
K. Sano,CDM,24,80,83
N. De Cat,CDM,16,68,87
Pau Cabanes,ST,20,65,78
25 A. Ličina,RM,17,59,79
J. Janssen,CM,18,65,79
H. Armstrong,CM,18,73,85
O. Naasei,RB,20,69,82
Jorge Salinas,LB,18,67,85
C. Inao Oulaï,CM,19,70,84
A. Heaven,CB,18,74,85
B. Mamuzah Lum,CDM,17,62,82
Asencio,CB,22,78,83
Fer López,RW,21,73,82
A. Tape,CB,17,67,84
Víctor Muñoz,LW,21,78,86
Estêvão,RM,18,79,89
M. Hansen,ST,16,60,81
I. Smolčić,RB,24,75,78
C. Obi,ST,17,65,84
K. Coulibaly,CB,18,71,85
T. Fruk,ST,24,77,82
Afonso Patrão,ST,18,66,80
L. Karl,CAM,17,75,88
Felipe Andrade,LB,23,68,75
C. Kiala,CB,16,58,82
L. Page,CAM,16,64,84
W. Mohya,CAM,16,70,85
Dro Fernández,CM,17,70,85
A. Dos Santos,CM,17,63,85
M. Šín,CAM,21,74,82
J. Byfield,CB,16,62,80
A. Cardinali,LM,19,61,76
Ricardo Mathias,ST,18,68,82
R. Himbert,ST,17,68,82
J. Ta Bi,RM,20,68,80
B. Asare,GK,32,75,75
A. González,ST,22,74,83
J. Zinhagel,LW,16,59,85
B. Sapoko Ndiaye,CM,17,61,81
16 Diego,CAM,30,79,79
22 A. Akinfenwa,ST,39,64,64
19 J. Morrison,CAM,32,71,71
K. Benzema,ST,37,85,85
23 David Silva,CAM,36,83,83
22 Lucas Leiva,CDM,34,79,79
L. Suárez,ST,38,78,78
24 M. Albrighton,RM,33,69,69
Cristiano Ronaldo,ST,40,85,85
19 Fernando Torres,ST,34,77,77
E. Akinsanmiro,CM,20,67,80
Tiago Gabriel,CB,20,69,77
Kevin,LM,22,76,81
S. Ouaissa,RM,20,72,82
G. Leoni,CB,18,69,82
Pau Cubarsí,CB,18,83,89
A. Crnac,ST,21,68,75
24 M. Musiałowski,LW,19,60,75
L. Amatucci,CM,21,72,82
C. Marshall,ST,20,66,75
G. Kodua,RM,20,62,76
M. Mothersille,LM,21,65,74
I. Sané,ST,20,65,78
S. Lacey,RM,18,65,84
Q. MacNicol,CAM,17,55,77
J. Johnson,LB,19,63,78
N. Edjouma,RM,19,68,80
M. Lambourde,RM,19,64,80
D. Bartesaghi,LB,19,71,81
M. Schmitt,GK,19,60,76
A. Matos,CM,20,67,77
J. McConnell,CDM,20,68,79
A. Stanković,CDM,19,72,85
L. Marianucci,CB,20,68,79
A. Cissè,CAM,18,65,78
S. Fini,RM,19,65,82
L. Flø,RB,19,64,78
Gonzalo,ST,21,74,84
T. Medina,CM,21,64,75
Alejandro Granados,CM,19,65,85
J. Donley,CAM,20,67,80
L. Graham,CB,21,64,74
Yarek,CB,20,76,85
T. Sellars-Fleming,ST,20,57,72
J. Reitan-Sunde,LW,19,63,79
Z. Gozo,RM,18,63,83
A. Koné,CDM,20,70,81
Héctor Fort,RB,18,71,83
Álex Jiménez,RB,20,77,84
A. Doicaru,RW,18,60,73
H. Whitwell,CM,19,57,74
L. De Fougerolles,CB,19,66,81
Javi Rodríguez,CB,22,76,82
B. Ogbus,CB,19,69,78
K. Jennings,CM,19,56,73
B. Owusu,CB,21,65,74
M. Mbick,ST,18,63,76
M. Gogorza,LW,18,69,83
24 S. van der Sloot,RB,20,61,71
M. Moerstedt,ST,19,69,81
S. Peck,CDM,20,71,82
Jauregizar,CM,21,80,86
N. Aséko,CM,19,70,84
M. Coulibaly,CM,21,71,82
S. El Mourabet,CM,19,73,82
Gabriel Moscardo,CDM,19,72,82
Z. Athekame,RB,20,65,78
R. Kone,ST,21,70,80
E. Al Muwallad,CDM,23,60,69
Alberto Reina,CM,27,74,74
L. Wechsel,GK,20,60,74
C. Kleine-Bekel,CB,22,67,74
M. Seybold,GK,23,57,62
Á. Yaakobishvili,GK,19,70,82
E. Banzuzi,CM,20,73,85
M. Diakhon,RM,19,70,82
D. Richter,GK,26,64,67
I. Ansah,ST,20,73,83
L. Høgsberg,CB,19,73,82
L. Kelly-Heald,CB,20,58,70
C. Echeverri,CAM,19,73,85
N. Cadiou,CDM,26,71,74
N. Mendy,CB,20,75,85
C. Ndour,CM,20,72,83
J. Manzambi,CM,19,77,86
S. Charles,CM,21,72,82
Ž. Vipotnik,ST,23,74,79
A. Kanté,CDM,19,68,78
Alemão,ST,27,74,74
Afonso Moreira,LM,20,75,84
A. Bellaarouch,GK,23,68,76
N. Brdar,GK,19,60,73
A. Khusanov,CB,21,80,86
B. Bafdili,CAM,20,69,79
Ü. Akdağ,CB,21,69,81
Newerton,LW,20,70,82
Franculino,ST,21,74,82
Rafa Marín,CB,23,76,83
S. Dahl,LB,22,75,82
J. Hinshelwood,CDM,20,76,84
J. Busse,GK,19,58,70
A. Mebude,RM,21,64,78
F. Esposito,ST,20,76,84
C. Cassano,CAM,21,68,79
V. Brazhko,CDM,23,75,83
I. Babadi,CAM,20,68,82
Y. Al Zubaidi,RM,22,56,65
R. Vinge,RW,24,61,63
J. Paluska,CB,20,67,74
Óscar Aranda,LM,23,74,80
R. Kolli,ST,20,65,77
C. Harder,ST,20,75,85
T. Corazza,LB,21,67,77
Y. Konak,CDM,19,65,80
Unai Gómez,CAM,22,72,78
T. Aydın,CB,19,57,68
M. de Amorim,CM,20,71,81
C. Favasuli,RM,21,67,76
R. Kofler,CB,20,69,76
L. Wurm,CB,19,66,75
M. Finkgräfe,LB,21,70,81
L. Stojković,CAM,21,70,80
E. Kroupi,ST,19,78,86
24 E. Bitri,CB,26,63,66
Kauã Santos,GK,22,71,81
O. Fayed,CB,21,65,75
K. Yıldız,CAM,20,82,89
André Luiz,RM,23,71,77
L. Di Lollo,CB,21,75,80
M. Prati,CDM,21,72,81
26 J. O'Brien-Whitmarsh,CAM,20,57,74
A. Engels,CM,21,73,82
K. Danois,CM,21,75,83
C. Hughes,CB,21,73,82
L. Bergvall,CM,19,78,87
J. Hato,LB,19,78,87
J. Domina,ST,19,67,76
Danilo Santos,CDM,24,76,80
N. Zézé,CB,20,73,81
G. Ilenikhena,ST,18,73,82
G. Orban,ST,22,74,81
R. Esse,RM,20,70,82
M. Mellon,ST,21,62,71
T. Slotsager,CB,19,69,82
D. Ozoh,CDM,20,68,78
J. Panichelli,ST,22,77,85
Álex Valle,LB,21,74,84
C. Casadei,CM,22,75,83
C. Ordoñez,CDM,20,71,81
Renato Veiga,CB,21,78,83
M. Mónaco,RM,23,63,69
K. Oppong,CB,21,72,79
C. Ligue,LB,20,63,75
26 L. Montenegro,CM,22,63,72
Carlos Álvarez,RM,21,77,83
D. Romero,ST,27,67,67
Robson Matheus,CM,23,70,77
Alarcón,RW,21,67,79
N. Opoku,ST,23,62,63
M. Perković,LB,22,70,78
E. González,LW,20,63,75
K. Konaté,ST,21,71,82
F. Pekruhl,GK,26,58,62
I. Osman,LM,20,72,84
K. Páez,CAM,18,73,84
T. Avilés,CB,21,66,73
S. Kılıçsoy,ST,19,74,81
A. Bannon,CB,21,56,66
F. Barone,ST,19,64,79
G. Gocholeishvili,RB,24,70,74
P. Klemens,CDM,20,68,79
Álex Calvo,RW,21,66,72
M. Gurgul,LB,19,68,81
D. Watson,CM,20,67,81
J. Hjertø-Dahl,CM,19,68,81
M. Faal,ST,22,62,69
Arthur,RM,22,73,78
I. Maza,CAM,19,79,87
26 B. Tamayo,CB,20,66,74
C. Talbi,RW,20,76,86
K. Sabbe,RB,20,72,85
R. Vermant,ST,21,72,83
26 A. Ødegård,CM,21,59,73
S. Magassa,CDM,21,73,80
L. Camara,CM,21,79,85
S. Barbosa,LB,21,64,75
G. Doué,RB,22,77,82
Z. El Ouahdi,RB,23,78,85
V. Bak,LB,21,71,78
Gabriel Sara,CM,26,80,83
Y. Yarmoliuk,CDM,21,77,83
Duk,LW,25,70,71
R. Flamingo,CB,22,76,82
25 K. Muneer,LM,26,64,65
S. Angori,LM,21,71,78
25 K. de Wit,CAM,20,59,68
F. Chaïbi,CAM,22,76,81
Alberto Costa,RB,21,77,86
M. Didden,CB,23,69,78
24 T. Geralnik,LM,20,62,74
26 Hugo Pérez,CB,22,62,71
David Torres,CB,22,69,78
G. Jean,CB,25,69,74
N. Pierozzi,RB,23,73,76
S. Soumah,RW,21,64,74
S. Baidoo,CB,21,76,83
J. Omoregie,CDM,21,65,72
G. Fabbian,CM,22,73,82
Álex Padilla,GK,21,69,79
Adu Ares,LM,23,66,72
M. Leaburn,ST,21,66,77
25 K. Barlow,CAM,21,58,65
Gabriel Silva,LW,23,73,79
W. Alves,LM,20,63,78
S. Ngoura,ST,20,67,75
G. Read,RB,19,76,89
Chuki,CAM,21,71,82
D. Prpić,CB,21,73,84
R. Odada,CDM,24,64,69
O. Zych,GK,21,68,78
Y. Medina,LB,20,70,84
M. Dorgeles,CM,20,69,81
D. Sylla,RM,22,66,75
V. Vanat,ST,23,77,82
M. N'Diaye,LB,23,73,81
M. Zanotti,RB,22,73,82
I. Sulemana,CDM,22,73,80
F. Terracciano,CB,22,71,80
24 Jordi Ortega,CM,20,59,73
I. Beka,CB,25,65,70
Y. Lienard,GK,22,65,75
J. Diaz,CB,21,72,80
Kike Salas,CB,23,76,82
Rubén Gómez,GK,23,63,71
A. Brooks,RM,21,70,79
